name,latitude,longitude,RADD,Stop,PWR,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Double-check,UK,Swiss,Source
St Alban,45.404444,4.755278,1,,1,109.76,111.72,79.52,116.2,126.28,109.76,118.44,115.36,114.24,122.36,114.8,52.08,164.64,143.92,103.88,105,146.16,92.12,#N/A,ok,,,RADD
St Laurent B,47.72,1.5775,1,,1,86.8,82.88,90.44,83.44,90.44,75.32,87.64,54.88,82.04,71.12,81.76,92.12,81.2,155.96,48.16,41.16,65.24,61.6,#N/A,ok,,,RADD
Sta Maria de Garona,42.7753,-3.207292,1,,0,213.480411,199,243,231,201,215,200,1.09,0,0,0,0,0,0,0,0,0,0,0,ok,,,RADD
Stade,53.62,9.530833,1,,0,0.65,0.93,1.6,0.22,0.4,1.876,0.728,0,0,0,0,0,0,0,0,0,0,0,0,ok,,,RADD
Temelin,49.18,14.376111,1,,1,157.08,141.12,123.76,132.16,138.6,350,241.08,201.88,204.4,163.52,155.68,156.52,140.56,159.88,142.24,133.56,139.16,139.44,134.4,ok,,,RADD
THTR 300,51.679167,7.971667,1,,0,0.0028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok,,,RADD
Tihange 1-3,50.53472,5.2725,0,,1,173.706017,177.56503,174.744164,181.953819,181.832153,177.6096,155.297512,152.745907,138.462845,104.702438,148.133395,149.527666,117.5463381,157.4673238,103.6125722,191.6530959,149.8108164,#N/A,#N/A,,,,
Torness,55.96799,-2.40908,1,,0,688,880,841,1070,826,993,1040,974,938,1280,1320,1130,1330,1360,1454.765,1479.226,1081.785,1241.563,#N/A,ok,1,,10.5281/zenodo.15034663
Trawsfynydd,52.924864,-3.948439,1,,0,2.96,2.74,2.13,2.27,3.76,1.82,0.56,0.7,0.97,0.7,1,1.15,1.09,1.15,1.22,1.16,1.16,#N/A,#N/A,,1,,
Tricastin,44.329722,4.732222,1,,1,167.72,180.32,75.32,153.72,171.36,150.36,160.16,166.32,163.8,167.72,138.88,129.64,126.84,155.96,114.8,88.2,144.48,148.68,#N/A,ok,,,RADD
Trillo,40.701111,-2.621944,1,,1,18.76,12.46,8.484,10.332,10.08,31.9,28.1,28.3,21.7,18,13.1,35.5,75.04,49.7,19.6,19.2,45.4,29.52622823,19.68415215,ok,,,RADD
Unterweser,53.4277,8.480197,1,2011,1,1.8,2.1,6.1,27,26,18,13,3.9,6.4,0.62,0.56,0.7,0.7,0.44,0.6,1.3,0.58,#N/A,#N/A,ok,,,RADD
Vandellos 1-2,40.951389,0.866667,1,,1,8.19E-08,336,41.72,15.00800023,13.97200001,16.54800002,129.6400001,59.70000013,96.70000004,85.40000015,31.7,96.9,154,90.7,114,157,50.3,81.6,151,ok,,,RADD
Winfrith,50.682,-2.261,1,,0,0.864,1.38,0.934,0.315,0.134,0.126,0.143,0.187,0.239,0.129,0.193,0.146,0.119,0.204,0.221,0.18,0.18,#N/A,#N/A,,1,,
Würgassen,51.639167,9.391389,1,1994,0,1.5,2.2,1.4,1.9,1,0.43,0.35,0,0,0,0.045,0.046,0.043,0.05,0.048,0.042,0.04,0.04,#N/A,ok,,,RADD
Wylfa,53.417,-4.483,1,,0,1280,1000,1490,1420,1330,1260,965,871,342,954,104,1.51,1.08,0.69,0.63,0.88,0.88,#N/A,#N/A,,1,,
