Country,Reactor,Reactor Type,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Sweden,Ringhals 1,BWR,,,,,,,,471,381,487,534,565,508,382,115,248,446,375,423,,
Sweden,Ringhals 2,PWR,,,,,,,,759,558,725,856,669,655,474,570,591,497,387,695,,
United Kingdom,Berkeley A-B ,GCR,0.526,0.266,0.305,0.231,0.122,0.186,0.2,0.264,0.251,0.211,0.19,0.166,0.25,0.282,0.224,0.245,0.472,0.524,0.503,0.519,0.916
United Kingdom,Bradwell A-B ,GCR,364,357,276,379,199,201,464,158,376,2.6,2.45,0.563,1.11,1.16,0.624,0.299,0.384,0.42,0.42,0.619,13.7
United Kingdom,Claderhall A-D ,GCR,350,330,320,350,350,330,290,50,30,0.4,,,,,,,,,,,
United Kingdom,Dungeness AA-AB,GCR ,3600,2500,3200,3000,3560,3100,3000,3500,3410,3050,1910,1930,243,1.11,30.1,0.222,0.282,0.634,0.452,0.474,0.353
United Kingdom,Dungeness B1-B2,AGR,161,490,473,405,470,277,523,638,714,669,704,601,797,730,634,503,508,528,557,808,856
United Kingdom,Hartlepool A1-A2,AGR,452,1510,1610,1910,1740,1470,2090,1780,1800,1420,1330,1470,1660,,1170,1930,2210,2170,2250,1760,1810
United Kingdom,Heysham 1A-1B,AGR,811,1020,1300,1160,688,1380,1230,1320,1670,690,1090,1720,1480,33,1300,1270,1560,1740,1660,873,1000
United Kingdom,Heysham 2A-2B,AGR,909,849,817,1050,1090,940,1160,1280,1210,1390,1550,1270,1520,1700,1400,1210,1670,1380,1560,1530,1730
United Kingdom,Hinkley point AA-AB,GCR,1060,1880,1910,1420,1600,56,2.6,2.56,2.63,1.5,0.76,0.687,0.712,0.731,0.725,0.71,0.67,0.6,0.51,0.48,0.457
United Kingdom,Hinkley Point BA-BB,AGR,843,1880,1410,1920,1210,1000,1140,1070,1220,1310,1580,1320,472,1110,908,1210,1170,1160,1210,1660,1480
United Kingdom,Hunterstone A,GCR,32,9.75,0.179,0,0,0,0,0.18,0.188,0.134,0.111,0.184,0.181,0.128,0.117,0.094,0.08,0.08,0.083,0.08,0.0577
United Kingdom,Hunterstone B1-B2,AGR,1300,1350,1670,1860,2000,1820,1900,2230,1620,1970,1640,1680,540,1310,1320,1310,1300,1390,1220,1080,1530
United Kingdom,Oldbury AA-AB,GCR,3750,3850,3870,3720,3930,3960,4730,4480,1910,1510,1150,887,325,930,1440,1750,1320,263,14.1,8.64,1.9
United Kingdom,Sellafield,SFR,710,630,1570,2620,2650,2940,953,829,711,849,911,710,360,686,379,273,396,378,518,340,420
United Kingdom,Sizewell AA-AB,GCR,910,107,530,465,1090,1070,1020,1170,1260,1080,1220,1490,110,46.4,13.1,5.8,4.2,6.62,7.69,4.49,2.58
United Kingdom,Sizewell B,PWR,12.3,54.1,75.9,230,23.2,176,179,194,282,199,209,169,295,333,23.2,176,179,194,282,199,209
United Kingdom,Torness A-B,AGR,490,571,497,766,575,575,561,511,652,582,569,688,880,841,1070,826,993,1040,974,938,1280
United Kingdom,Wylfa A-B,GCR,1150,1240,1330,1470,1480,522,404,1540,1410,1340,1250,1280,1000,1490,1420,1330,1260,965,871,342,954
